trade_timestamp,elapsed_time
1720518015954.0,0.0142034
1720518017423.0,0.3677587
1720518017744.0,0.3279246
1720518018139.0,0.3795793
1720518025380.0,7.2404908
1720518025380.0,0.0017391
1720518025380.0,0.0015943
1720518025380.0,0.0060704
1720518025380.0,0.0009157
1720518025380.0,0.001042
1720518027458.0,2.0781914
1720518027458.0,0.0014956
1720518028793.0,1.3183506999999999
1720518028793.0,1.2509003
1720518030689.0,0.6597755
1720518030689.0,0.0046814
1720518031260.0,0.5551404
1720518032038.0,0.7897902
1720518032038.0,0.002092
1720518032038.0,0.0019182
1720518034557.0,2.5051835000000002
1720518034614.0,0.0630365
1720518035236.0,0.6177653
1720518035452.0,0.2202098
1720518035886.0,0.4201243
1720518036687.0,0.8000962
1720518036687.0,0.0048756
1720518041322.0,4.6351294
1720518042667.0,1.3398184
1720518051248.0,8.5997843
1720518052864.0,1.5996777
1720518052864.0,0.0018668
1720518053844.0,0.9881085
1720518053844.0,0.0070251
1720518058639.0,4.782875
1720518058639.0,1.3801292
1720518061107.0,1.0893904
1720518062711.0,1.6097962
1720518064191.0,1.480732
1720518064191.0,0.0069385
1720518064191.0,0.007867
1720518064191.0,0.0068566
1720518065181.0,0.9679318
1720518066908.0,1.7205605
1720518067012.0,0.0996364
1720518067103.0,0.1002153
1720518068780.0,1.6698696
1720518068780.0,0.0089806
1720518068780.0,0.0047663
1720518068789.0,0.0061758
1720518068789.0,0.003261
1720518069108.0,0.3167491
1720518069258.0,0.1402023
1720518069462.0,0.200413
1720518069817.0,0.3696821
1720518071328.0,1.499975
1720518071927.0,0.5995391
1720518072471.0,0.550409
1720518073008.0,0.5395965
1720518073008.0,0.0029868
1720518075215.0,2.2084492
1720518075215.0,0.0073312
1720518075215.0,0.0086196
1720518075215.0,0.0042669
1720518075215.0,0.0040852
1720518076595.0,1.3542729
1720518076683.0,0.0799176
1720518077234.0,0.5401253
1720518078687.0,1.4702066
1720518080898.0,2.2092529
1720518081769.0,0.8603369
1720518081883.0,0.1199646
1720518082874.0,0.9800725
1720518082976.0,0.0998758
1720518082976.0,0.0080739
1720518083031.0,0.0515071
1720518083031.0,0.0019138
1720518083545.0,0.5290464
1720518083672.0,0.1204992
1720518083844.0,0.1794071
1720518083844.0,0.0092343
1720518083986.0,0.1303512
1720518084734.0,0.7401885
1720518084734.0,0.0080281
1720518084873.0,0.1320814
1720518084908.0,0.0398183
1720518084908.0,0.0082132
1720518084962.0,0.0317665
1720518084962.0,0.0046796
1720518084990.0,0.0349523
1720518084990.0,0.0019652
1720518084990.0,0.001201
1720518085348.0,0.3571737
1720518085348.0,0.0014229
1720518085471.0,0.1188151
1720518085471.0,0.0068091
1720518085484.0,0.0148033
1720518086894.0,1.4074406
1720518087492.0,0.6012504
1720518087960.0,0.4598089
1720518087960.0,0.0049738
1720518089067.0,1.0950369
1720518089067.0,0.012864
1720518089067.0,0.0085523
1720518089067.0,0.0055946
1720518089198.0,0.1220812
1720518089198.0,0.8212482
1720518090690.0,0.6597724
1720518092279.0,1.5890311000000001
1720518092474.0,0.2002652
1720518095932.0,3.4494222
1720518099028.0,3.0906842
1720518099456.0,0.4403405
1720518103501.0,4.0401776
1720518103501.0,0.0033287
1720518104351.0,0.8386829
1720518104351.0,0.006387
1720518104351.0,0.0042232
1720518104351.0,0.0051815
1720518107001.0,2.6325786
1720518107001.0,0.0081795
1720518108171.0,1.1820499
1720518108171.0,0.0069956
1720518108381.0,0.1912259
1720518109257.0,0.8798203
1720518112339.0,3.0703507
1720518112473.0,0.1404837
1720518112925.0,0.459355
1720518113433.0,0.5104052
1720518114176.0,0.7396203
1720518115185.0,0.9997233
1720518115944.0,0.7705569
1720518116385.0,0.4441225
1720518118452.0,2.0567556
1720518119176.0,0.7288776
1720518119176.0,0.8299816
1720518121881.0,1.8800312
1720518122226.0,0.3402398
1720518122300.0,0.0795215
1720518124574.0,2.2701761
1720518125105.0,0.5202577
1720518125753.0,0.6600202
1720518125927.0,0.1596584
1720518127100.0,1.1896771
1720518127888.0,0.7808895
1720518129393.0,1.5095165000000001
1720518130062.0,0.6599868
1720518130985.0,0.9199513
1720518131563.0,0.5802258
1720518131674.0,0.119642
1720518131868.0,0.1897334
1720518131901.0,0.0400397
1720518132154.0,0.240449
1720518132658.0,0.5198894
1720518135039.0,2.3694143
1720518135039.0,0.0039038
1720518137934.0,2.8863469999999998
1720518138978.0,1.0402059
1720518138978.0,0.0047073
1720518139729.0,0.7552436
1720518141953.0,2.2296925
1720518142794.0,0.8398941
1720518142794.0,0.0116383
1720518144899.0,2.0789391
1720518145328.0,0.4399067
1720518145328.0,0.010305
1720518145453.0,0.1092832
1720518147065.0,1.6098723000000001
1720518147065.0,2.9500132
1720518150234.0,0.2202089
1720518150234.0,0.0020991
1720518150234.0,0.0012499
1720518150234.0,0.0070345
1720518150545.0,0.3087908
1720518151455.0,0.890216
1720518151650.0,0.2008063
1720518151691.0,0.0397114
1720518151691.0,0.003323
1720518151797.0,0.0964001
1720518151797.0,0.0070096
1720518151896.0,0.0930716
1720518151896.0,0.0023644
1720518151995.0,0.0977279
1720518153717.0,1.7295743
1720518154305.0,0.5804906
1720518154897.0,0.6004339
1720518155370.0,0.4597754
1720518156974.0,1.6102259
1720518161809.0,4.8397253
1720518161809.0,0.0029817
1720518161809.0,0.0035007
1720518161809.0,0.0027898
1720518162798.0,0.9698607
1720518164904.0,2.1109794
1720518164904.0,0.0034393
1720518165031.0,0.1156164
1720518166629.0,1.6099518000000002
1720518167496.0,0.860349
1720518170616.0,3.1302153
1720518171088.0,0.4590658
1720518172576.0,1.491396
1720518178040.0,5.4794387
1720518178040.0,0.0071261
1720518178222.0,0.1725376
1720518178222.0,1.8097422
1720518180390.0,0.3607384
1720518180484.0,0.079281
1720518180488.0,0.0210779
1720518180819.0,0.3191771
1720518183021.0,2.1999347
1720518184466.0,1.4500965
1720518184466.0,0.0025507
1720518184790.0,0.3176814
1720518185403.0,0.6000543
1720518185411.0,0.0193829
1720518187029.0,1.6099097
1720518187667.0,0.6402915
1720518189972.0,2.3102234
1720518193748.0,3.7697694999999998
1720518194192.0,0.4506765
1720518194192.0,0.0062417
1720518194192.0,0.0075524
1720518194610.0,0.405549
1720518196799.0,2.1898682
1720518196799.0,0.0076282
1720518196799.0,0.0049557
1720518196799.0,0.0036101
1720518196799.0,0.0029854
1720518197269.0,0.4603027
1720518199235.0,1.9506487
1720518199631.0,0.3998583
1720518199717.0,0.0794184
1720518207478.0,7.7607574
1720518207478.0,0.0066765
1720518207595.0,0.1127943
1720518207882.0,0.2814392
1720518207976.0,0.1085872
1720518207976.0,0.0035707
1720518207976.0,0.0035859
1720518207976.0,0.0038408
1720518208937.0,0.9496582
